,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
count,557.0,557.0,557.0,557.0,557.0,557.0
mean,19.019859313964844,17.941373825073242,70.92769622802734,67.8958740234375,57.63016128540039,7.671419143676758
std,33.810482025146484,92.05852508544922,14.887835502624512,22.17807388305664,37.765655517578125,5.424250602722168
min,-54.79999923706055,-175.1999969482422,32.31999969482422,5.0,0.0,0.0
25%,-9.076299667358398,-66.3821029663086,59.86000061035156,56.0,20.0,3.7799999713897705
50%,20.894699096679688,21.986299514770508,73.41999816894531,73.0,69.0,6.619999885559082
75%,48.649898529052734,98.63480377197266,81.0999984741211,84.0,96.0,10.359999656677246
max,78.21859741210938,179.3166961669922,119.20999908447266,100.0,100.0,35.22999954223633
